    Temperature          Paths
              1        16.9557
            0.5        13.0516
       0.333333        9.96521
           0.25        9.95518
            0.2        9.45206
       0.166667        9.37493
       0.142857          8.338
          0.125        8.14379
       0.111111        7.13215
            0.1        7.50347
      0.0909091        6.94958
      0.0833333        7.47499
      0.0769231        6.53212
      0.0714286        5.72631
      0.0666667        5.46067
         0.0625        5.62222
      0.0588235        5.59497
      0.0555556        5.29074
      0.0526316        5.56205
           0.05        5.25233
       0.047619        5.35005
      0.0454545        5.26269
      0.0434783        5.29634
      0.0416667        5.20658
           0.04        5.11914
      0.0384615        5.12189
       0.037037        5.02106
      0.0357143        5.05786
      0.0344828         5.0718
      0.0333333        4.98637
      0.0322581        5.01156
        0.03125        4.86203
       0.030303        4.82577
      0.0294118        4.88224
      0.0285714        4.85148
      0.0277778        4.85644
       0.027027        4.86203
      0.0263158        4.82018
       0.025641        4.86203
          0.025        4.86203
      0.0243902        4.91007
      0.0238095        4.89573
      0.0232558        4.93617
      0.0227273         4.9055
      0.0222222        4.91594
      0.0217391        4.82577
      0.0212766        4.82018
      0.0208333        4.90039
      0.0204082        4.84598
           0.02        4.89014
      0.0196078        4.85707
      0.0192308        4.86909
      0.0188679        4.88224
      0.0185185        4.84598
      0.0181818        4.85158
      0.0178571        4.82577
      0.0175439        4.85644
      0.0172414        4.85707
      0.0169492        4.89013
      0.0166667        4.85707
      0.0163934        4.89573
       0.016129        4.82018
       0.015873        4.84598
       0.015625        4.82577
      0.0153846        4.82577
      0.0151515        4.82577
      0.0149254        4.82577
      0.0147059        4.82018
      0.0144928        4.82018
      0.0142857        4.82018
      0.0140845        4.82018
      0.0138889        4.85644
      0.0136986        4.82577
      0.0135135        4.82018
      0.0133333        4.85707
      0.0131579        4.82018
       0.012987        4.82018
      0.0128205        4.86203
      0.0126582        4.82018
         0.0125        4.82018
      0.0123457        4.82018
      0.0121951        4.82018
      0.0120482        4.82018
      0.0119048        4.85707
      0.0117647        4.95056
      0.0116279         4.8593
      0.0114943        4.78079
      0.0113636        4.78934
       0.011236        4.76058
      0.0111111         4.6246
       0.010989          4.619
      0.0108696         4.6504
      0.0107527          4.619
      0.0106383          4.619
      0.0105263          4.619
      0.0104167          4.619
      0.0103093          4.619
      0.0102041        4.65589
       0.010101          4.619
           0.01          4.619
     0.00990099          4.619
     0.00980392         4.6448
     0.00970874          4.619
     0.00961538         4.6246
     0.00952381         4.6589
