    Temperature          Paths
              1        14.7466
            0.5        13.4313
       0.333333        11.3766
           0.25        10.3537
            0.2        8.62577
       0.166667        7.61704
       0.142857        8.08635
          0.125        7.04107
       0.111111        6.92284
            0.1        6.29966
      0.0909091        6.07076
      0.0833333        5.96043
      0.0769231        6.71599
      0.0714286        6.46902
      0.0666667         6.3576
         0.0625        5.58217
      0.0588235        5.60756
      0.0555556        5.47493
      0.0526316        5.47705
           0.05        5.69431
       0.047619        5.41157
      0.0454545        5.27577
      0.0434783        5.23128
      0.0416667        5.33921
           0.04        5.23912
      0.0384615        5.42994
       0.037037        5.34064
      0.0357143        5.26733
      0.0344828        5.41818
      0.0333333        5.38446
      0.0322581        5.29469
        0.03125        5.30293
       0.030303        5.30408
      0.0294118        5.32737
      0.0285714         5.3184
      0.0277778        5.30923
       0.027027        5.12591
      0.0263158        5.07609
       0.025641        5.08041
          0.025        5.13847
      0.0243902        5.08965
      0.0238095        5.14405
      0.0232558        5.06902
      0.0227273        5.14328
      0.0222222        5.10913
      0.0217391         5.1442
      0.0212766        5.08965
      0.0208333        5.13481
      0.0204082        5.06887
           0.02        5.12591
      0.0196078         5.0898
      0.0192308        5.11221
      0.0188679        5.07725
      0.0185185        5.07725
      0.0181818        5.06786
      0.0178571         5.0898
      0.0175439        5.10833
      0.0172414        4.96109
      0.0169492        4.96932
      0.0166667        4.96932
      0.0163934        5.00958
       0.016129           5.03
       0.015873        4.97047
       0.015625        5.00958
      0.0153846        4.97364
      0.0151515        4.96109
      0.0149254        4.96109
      0.0147059        4.96109
      0.0144928        4.98302
      0.0142857        4.97047
      0.0140845        4.97479
      0.0138889        4.99354
      0.0136986        4.96109
      0.0135135        4.97047
      0.0133333        5.04203
      0.0131579        4.98435
       0.012987        4.97479
      0.0128205        4.98302
      0.0126582        4.99374
         0.0125        4.97479
      0.0123457        4.99332
      0.0121951        4.97047
      0.0120482        5.00135
      0.0119048        4.99806
      0.0117647        4.96932
      0.0116279        4.98187
      0.0114943        4.99374
      0.0113636        4.98435
       0.011236        4.96109
      0.0111111        4.96224
       0.010989        4.96224
      0.0108696        4.97047
      0.0107527        4.96109
      0.0106383        4.99735
      0.0105263        4.99216
      0.0104167        4.96109
      0.0103093        4.97364
      0.0102041        4.98302
       0.010101        4.96109
           0.01        4.96932
     0.00990099        4.96224
     0.00980392        4.98187
     0.00970874        4.98187
     0.00961538        5.03285
     0.00952381        4.96932
     0.00943396        4.96224
     0.00934579        4.99374
     0.00925926        4.96224
     0.00917431        4.96932
     0.00909091        4.96109
     0.00900901         5.0004
     0.00892857        4.96109
     0.00884956        4.96109
     0.00877193        4.97047
     0.00869565        4.96109
     0.00862069        4.97047
     0.00854701        4.97364
     0.00847458        4.98302
     0.00840336        4.97479
     0.00833333        4.96932
     0.00826446        4.96109
     0.00819672        4.96932
     0.00813008        4.96109
     0.00806452        4.96109
          0.008        4.96224
     0.00793651        4.96932
     0.00787402        4.96109
      0.0078125        4.97047
     0.00775194        4.96224
     0.00769231        4.96224
     0.00763359        4.98302
     0.00757576        4.96224
      0.0075188        4.96109
     0.00746269        4.96109
     0.00740741        4.99216
     0.00735294        4.97364
     0.00729927        4.97047
     0.00724638        4.98187
     0.00719424        4.96109
     0.00714286        4.96109
      0.0070922        4.96109
     0.00704225        4.96109
     0.00699301        4.96109
     0.00694444        4.96224
     0.00689655        4.96224
     0.00684932        4.96109
     0.00680272        4.98187
     0.00675676        4.96109
     0.00671141        4.96932
     0.00666667        4.96109
     0.00662252        5.00135
     0.00657895        4.96224
     0.00653595        4.96224
     0.00649351        4.96109
     0.00645161        4.96109
     0.00641026        4.96109
     0.00636943        4.96109
     0.00632911        4.96109
     0.00628931        4.96224
        0.00625        4.96109
     0.00621118        4.96224
