    Temperature          Paths
              1        14.4382
            0.5        10.8056
       0.333333        10.2379
           0.25        10.3625
            0.2         8.6337
       0.166667        8.16054
       0.142857        7.80659
          0.125        8.17265
       0.111111        8.28651
            0.1        6.77681
      0.0909091        6.15886
      0.0833333        6.66626
      0.0769231         6.5713
      0.0714286        6.01719
      0.0666667        5.84756
         0.0625        5.69545
      0.0588235        5.22685
      0.0555556        5.01676
      0.0526316        5.18104
           0.05        5.13846
       0.047619        5.06857
      0.0454545        5.09301
      0.0434783        5.03652
      0.0416667        5.11524
           0.04        4.99665
      0.0384615        4.90088
       0.037037        4.97419
      0.0357143        4.91242
      0.0344828        4.92786
      0.0333333        4.91242
      0.0322581        4.88662
        0.03125        4.88113
       0.030303        4.85532
      0.0294118         4.9271
      0.0285714        4.90502
      0.0277778        4.85532
       0.027027        4.85532
      0.0263158        4.91739
       0.025641        4.88672
          0.025        4.91061
      0.0243902         4.9271
      0.0238095        4.89158
      0.0232558        4.85532
      0.0227273        4.94687
      0.0222222        4.86092
      0.0217391        4.96217
      0.0212766        4.85532
      0.0208333        4.90088
      0.0204082        4.86092
           0.02        4.86092
      0.0196078        4.85532
      0.0192308        4.86092
      0.0188679        4.85532
      0.0185185        4.90088
      0.0181818        4.88113
      0.0178571        4.85532
      0.0175439        4.85532
      0.0172414        4.91019
      0.0169492        4.88672
      0.0166667        4.88662
      0.0163934        4.86092
       0.016129        4.86092
       0.015873        4.85532
       0.015625        4.88662
      0.0153846        4.85532
      0.0151515        4.85532
      0.0149254        4.88113
      0.0147059        4.86092
      0.0144928        4.86092
      0.0142857        4.88113
      0.0140845        4.89222
      0.0138889        4.85532
      0.0136986        4.85532
      0.0135135        4.91061
      0.0133333        4.90502
      0.0131579        4.85532
       0.012987        4.86092
      0.0128205        4.85532
      0.0126582        4.86092
         0.0125        4.91061
      0.0123457        4.86092
      0.0121951        4.85532
      0.0120482        4.85532
      0.0119048        4.86092
      0.0117647        4.88113
      0.0116279        4.89718
      0.0114943        4.89718
      0.0113636        4.85532
       0.011236        4.85532
      0.0111111        4.86092
       0.010989        4.86092
      0.0108696        4.88662
      0.0107527        4.88662
      0.0106383        4.85532
      0.0105263        4.86092
      0.0104167        4.85532
      0.0103093        4.86092
      0.0102041        4.89222
       0.010101        4.85532
           0.01        4.88662
     0.00990099        4.85532
     0.00980392        4.85532
     0.00970874        4.88662
     0.00961538        4.85532
     0.00952381        4.86092
     0.00943396        4.85532
     0.00934579        4.85532
     0.00925926        4.85532
     0.00917431        4.85532
     0.00909091        4.85532
     0.00900901        4.85532
     0.00892857        4.86092
     0.00884956        4.85532
     0.00877193        4.86092
     0.00869565        4.89718
     0.00862069        4.86092
     0.00854701        4.86092
     0.00847458        4.90502
     0.00840336        4.85532
     0.00833333        4.85532
     0.00826446        4.86092
     0.00819672        4.86092
     0.00813008        4.89158
     0.00806452        4.86092
          0.008        4.86092
     0.00793651        4.85532
     0.00787402        4.85532
      0.0078125        4.85532
     0.00775194        4.85532
     0.00769231        4.85532
     0.00763359        4.85532
     0.00757576        4.86092
      0.0075188        4.86092
     0.00746269        4.85532
     0.00740741        4.89158
     0.00735294        4.85532
     0.00729927        4.85532
     0.00724638        4.85532
     0.00719424        4.85532
     0.00714286        4.85532
      0.0070922        4.85532
     0.00704225        4.85532
     0.00699301        4.85532
     0.00694444        4.85532
     0.00689655        4.85532
     0.00684932        4.85532
     0.00680272        4.86092
     0.00675676        4.86092
     0.00671141        4.86092
     0.00666667        4.85532
     0.00662252        4.85532
     0.00657895        4.85532
     0.00653595        4.86092
     0.00649351        4.85532
     0.00645161        4.86092
     0.00641026        4.85532
     0.00636943        4.86092
     0.00632911        4.85532
     0.00628931        4.85532
        0.00625        4.85532
     0.00621118        4.88672
     0.00617284        4.85532
     0.00613497        4.85532
     0.00609756        4.86092
     0.00606061        4.85532
      0.0060241        4.85532
     0.00598802        4.85532
     0.00595238        4.85532
     0.00591716        4.85532
     0.00588235        4.85532
     0.00584795        4.85532
     0.00581395        4.85532
     0.00578035        4.88113
     0.00574713        4.85532
     0.00571429        4.85532
     0.00568182        4.85532
     0.00564972        4.85532
     0.00561798        4.85532
     0.00558659        4.85532
     0.00555556        4.85532
     0.00552486        4.85532
     0.00549451        4.86092
     0.00546448        4.85532
     0.00543478        4.85532
     0.00540541        4.85532
     0.00537634        4.85532
     0.00534759        4.85532
     0.00531915        4.86092
     0.00529101        4.86092
     0.00526316        4.85532
      0.0052356        4.85532
     0.00520833        4.88113
     0.00518135        4.85532
     0.00515464        4.85532
     0.00512821        4.85532
     0.00510204        4.85532
     0.00507614        4.85532
     0.00505051        4.85532
     0.00502513        4.85532
          0.005        4.86092
     0.00497512        4.86092
      0.0049505        4.85532
     0.00492611        4.85532
     0.00490196        4.85532
     0.00487805        4.85532
     0.00485437        4.85532
     0.00483092        4.85532
     0.00480769        4.85532
     0.00478469        4.86092
      0.0047619        4.85532
     0.00473934        4.86092
     0.00471698        4.86092
     0.00469484        4.85532
      0.0046729        4.86092
     0.00465116        4.85532
     0.00462963        4.85532
     0.00460829        4.85532
     0.00458716        4.85532
     0.00456621        4.85532
     0.00454545        4.85532
     0.00452489        4.85532
      0.0045045        4.86092
      0.0044843        4.85532
     0.00446429        4.86092
     0.00444444        4.86092
     0.00442478        4.85532
     0.00440529        4.86092
     0.00438596        4.85532
     0.00436681        4.85532
     0.00434783        4.86092
       0.004329        4.85532
     0.00431034        4.86092
     0.00429185        4.86092
      0.0042735        4.86092
     0.00425532        4.85532
     0.00423729        4.85532
     0.00421941        4.85532
     0.00420168        4.85532
      0.0041841        4.85532
     0.00416667        4.85532
     0.00414938        4.85532
     0.00413223        4.85532
     0.00411523        4.85532
