    Temperature          Paths
              1         16.624
            0.5        13.2196
       0.333333        13.5785
           0.25        10.4741
            0.2        7.91397
       0.166667        9.49307
       0.142857        8.07084
          0.125        7.76236
       0.111111        6.96496
            0.1        7.59804
      0.0909091         6.9364
      0.0833333        6.41464
      0.0769231        6.30823
      0.0714286        6.18381
      0.0666667        6.44029
         0.0625        6.05653
      0.0588235        5.81191
      0.0555556        5.41585
      0.0526316         5.7076
           0.05        5.49705
       0.047619        5.42638
      0.0454545        5.52452
      0.0434783        5.71724
      0.0416667        5.51553
           0.04        5.56346
      0.0384615        5.45514
       0.037037        5.43788
      0.0357143        5.28309
      0.0344828        5.38141
      0.0333333        5.34584
      0.0322581        5.36673
        0.03125        5.37294
       0.030303        5.37582
      0.0294118        5.33963
      0.0285714        5.17965
      0.0277778        5.21522
       0.027027        5.26413
      0.0263158        5.21234
       0.025641         5.2215
          0.025        5.18413
      0.0243902        5.22813
      0.0238095        5.14296
      0.0232558        5.14296
      0.0227273        5.17044
      0.0222222        5.21871
      0.0217391        5.14296
      0.0212766        5.17538
      0.0208333        5.14878
      0.0204082        5.25614
           0.02        5.19629
      0.0196078        5.20035
      0.0192308        5.11279
      0.0188679        5.11279
      0.0185185        5.22841
      0.0181818        5.18744
      0.0178571        5.28887
      0.0175439        5.22902
      0.0172414        5.22902
      0.0169492        5.24341
      0.0166667        5.24341
      0.0163934        5.25483
       0.016129        5.27879
       0.015873        5.21982
       0.015625        5.21982
      0.0153846        5.21982
      0.0151515        5.25521
      0.0149254        5.21982
      0.0147059        5.27879
      0.0144928        5.25521
      0.0142857        5.21982
      0.0140845        5.25521
      0.0138889        5.28978
      0.0136986        5.24341
      0.0135135        5.21982
      0.0133333        5.21982
      0.0131579        5.26902
       0.012987        5.21982
      0.0128205        5.24341
      0.0126582        5.21982
         0.0125        5.24341
      0.0123457        5.22902
      0.0121951        5.21982
      0.0120482        5.24341
      0.0119048        5.25521
      0.0117647        5.24341
      0.0116279        5.21982
      0.0114943        5.24341
      0.0113636        5.21982
       0.011236        5.21982
      0.0111111        5.21982
       0.010989        5.21982
      0.0108696        5.21982
      0.0107527        5.21982
      0.0106383        5.21982
      0.0105263        5.21982
      0.0104167        5.21982
      0.0103093        5.21982
      0.0102041        5.22902
       0.010101        5.26441
           0.01        5.22902
     0.00990099        5.22902
     0.00980392        5.22902
     0.00970874        5.22902
     0.00961538        5.26646
     0.00952381        5.22902
     0.00943396        5.22902
     0.00934579        5.25483
     0.00925926        5.22902
     0.00917431        5.22902
     0.00909091        5.22902
     0.00900901        5.22902
     0.00892857        5.22902
     0.00884956        5.22902
     0.00877193        5.22902
     0.00869565        5.22902
     0.00862069        5.22902
     0.00854701        5.21982
     0.00847458        5.21982
     0.00840336        5.21982
     0.00833333        5.21982
     0.00826446        5.21982
     0.00819672        5.22902
     0.00813008        5.25483
     0.00806452        5.26441
          0.008        5.22902
     0.00793651        5.22902
     0.00787402        5.21982
      0.0078125        5.22902
     0.00775194        5.22902
     0.00769231        5.22902
     0.00763359        5.22902
     0.00757576        5.22902
      0.0075188        5.22902
     0.00746269        5.22902
     0.00740741        5.22902
     0.00735294        5.22902
     0.00729927        5.22902
     0.00724638        5.22902
     0.00719424        5.22902
     0.00714286        5.22902
      0.0070922        5.22902
     0.00704225        5.22902
     0.00699301        5.22902
     0.00694444        5.22902
     0.00689655        5.21982
     0.00684932        5.21982
     0.00680272        5.21982
     0.00675676        5.21982
     0.00671141        5.21982
     0.00666667        5.21982
     0.00662252        5.21982
     0.00657895        5.21982
     0.00653595        5.21982
     0.00649351        5.21982
     0.00645161        5.21982
     0.00641026        5.21982
     0.00636943        5.21982
     0.00632911        5.21982
     0.00628931        5.21982
        0.00625        5.21982
     0.00621118        5.21982
     0.00617284        5.21982
     0.00613497        5.21982
     0.00609756        5.21982
     0.00606061        5.21982
      0.0060241        5.21982
     0.00598802        5.21982
     0.00595238        5.21982
     0.00591716        5.21982
     0.00588235        5.21982
     0.00584795        5.21982
     0.00581395        5.21982
     0.00578035        5.21982
     0.00574713        5.21982
     0.00571429        5.21982
     0.00568182        5.21982
     0.00564972        5.21982
     0.00561798        5.21982
     0.00558659        5.21982
     0.00555556        5.21982
     0.00552486        5.21982
     0.00549451        5.21982
     0.00546448        5.21982
     0.00543478        5.21982
     0.00540541        5.21982
     0.00537634        5.21982
     0.00534759        5.21982
     0.00531915        5.21982
     0.00529101        5.21982
     0.00526316        5.21982
      0.0052356        5.21982
     0.00520833        5.21982
     0.00518135        5.21982
     0.00515464        5.21982
     0.00512821        5.21982
     0.00510204        5.21982
     0.00507614        5.21982
     0.00505051        5.21982
     0.00502513        5.21982
          0.005        5.21982
     0.00497512        5.21982
      0.0049505        5.21982
     0.00492611        5.21982
     0.00490196        5.21982
     0.00487805        5.21982
     0.00485437        5.21982
     0.00483092        5.21982
     0.00480769        5.21982
     0.00478469        5.21982
      0.0047619        5.21982
     0.00473934        5.21982
     0.00471698        5.21982
     0.00469484        5.21982
      0.0046729        5.21982
     0.00465116        5.21982
     0.00462963        5.21982
     0.00460829        5.21982
     0.00458716        5.21982
     0.00456621        5.22902
     0.00454545        5.22902
     0.00452489        5.22902
      0.0045045        5.22902
      0.0044843        5.22902
     0.00446429        5.22902
     0.00444444        5.22902
     0.00442478        5.21982
     0.00440529        5.21982
     0.00438596        5.21982
     0.00436681        5.21982
     0.00434783        5.21982
       0.004329        5.21982
     0.00431034        5.21982
     0.00429185        5.21982
      0.0042735        5.21982
     0.00425532        5.21982
     0.00423729        5.21982
     0.00421941        5.21982
     0.00420168        5.21982
      0.0041841        5.21982
     0.00416667        5.21982
     0.00414938        5.21982
     0.00413223        5.21982
     0.00411523        5.21982
     0.00409836        5.21982
     0.00408163        5.21982
     0.00406504        5.21982
     0.00404858        5.22902
     0.00403226        5.21982
     0.00401606        5.21982
          0.004        5.21982
     0.00398406        5.21982
     0.00396825        5.21982
     0.00395257        5.21982
     0.00393701        5.21982
     0.00392157        5.21982
     0.00390625        5.21982
     0.00389105        5.21982
     0.00387597        5.21982
       0.003861        5.21982
     0.00384615        5.21982
     0.00383142        5.21982
     0.00381679        5.21982
     0.00380228        5.21982
     0.00378788        5.21982
     0.00377358        5.21982
      0.0037594        5.21982
     0.00374532        5.21982
     0.00373134        5.21982
     0.00371747        5.21982
      0.0037037        5.21982
     0.00369004        5.21982
     0.00367647        5.21982
       0.003663        5.21982
     0.00364964        5.21982
     0.00363636        5.21982
     0.00362319        5.21982
     0.00361011        5.21982
     0.00359712        5.21982
     0.00358423        5.21982
     0.00357143        5.21982
     0.00355872        5.21982
      0.0035461        5.21982
     0.00353357        5.21982
     0.00352113        5.21982
     0.00350877        5.21982
      0.0034965        5.21982
     0.00348432        5.21982
     0.00347222        5.21982
     0.00346021        5.21982
     0.00344828        5.21982
     0.00343643        5.21982
     0.00342466        5.21982
     0.00341297        5.21982
     0.00340136        5.21982
     0.00338983        5.21982
     0.00337838        5.21982
       0.003367        5.21982
      0.0033557        5.21982
     0.00334448        5.21982
     0.00333333        5.21982
     0.00332226        5.21982
     0.00331126        5.21982
     0.00330033        5.21982
     0.00328947        5.21982
     0.00327869        5.21982
     0.00326797        5.21982
     0.00325733        5.21982
     0.00324675        5.21982
     0.00323625        5.21982
     0.00322581        5.21982
     0.00321543        5.21982
     0.00320513        5.21982
     0.00319489        5.21982
     0.00318471        5.21982
      0.0031746        5.21982
     0.00316456        5.21982
     0.00315457        5.21982
     0.00314465        5.21982
      0.0031348        5.21982
       0.003125        5.21982
     0.00311526        5.21982
     0.00310559        5.21982
     0.00309598        5.21982
     0.00308642        5.21982
     0.00307692        5.21982
     0.00306748        5.21982
      0.0030581        5.21982
     0.00304878        5.21982
     0.00303951        5.21982
      0.0030303        5.21982
     0.00302115        5.21982
     0.00301205        5.21982
       0.003003        5.21982
     0.00299401        5.21982
     0.00298507        5.21982
     0.00297619        5.21982
     0.00296736        5.21982
     0.00295858        5.21982
     0.00294985        5.21982
     0.00294118        5.21982
     0.00293255        5.21982
     0.00292398        5.21982
     0.00291545        5.21982
     0.00290698        5.21982
     0.00289855        5.21982
     0.00289017        5.21982
     0.00288184        5.21982
     0.00287356        5.21982
     0.00286533        5.21982
     0.00285714        5.21982
       0.002849        5.21982
     0.00284091        5.21982
     0.00283286        5.21982
     0.00282486        5.21982
      0.0028169        5.21982
     0.00280899        5.21982
     0.00280112        5.21982
      0.0027933        5.21982
     0.00278552        5.21982
     0.00277778        5.21982
     0.00277008        5.21982
     0.00276243        5.21982
     0.00275482        5.21982
     0.00274725        5.21982
     0.00273973        5.21982
     0.00273224        5.21982
      0.0027248        5.21982
     0.00271739        5.21982
     0.00271003        5.21982
      0.0027027        5.21982
     0.00269542        5.21982
     0.00268817        5.21982
     0.00268097        5.21982
      0.0026738        5.21982
     0.00266667        5.21982
     0.00265957        5.21982
     0.00265252        5.21982
      0.0026455        5.21982
     0.00263852        5.21982
     0.00263158        5.21982
     0.00262467        5.21982
      0.0026178        5.21982
     0.00261097        5.21982
     0.00260417        5.21982
      0.0025974        5.21982
     0.00259067        5.21982
     0.00258398        5.21982
     0.00257732        5.21982
     0.00257069        5.21982
      0.0025641        5.21982
     0.00255754        5.21982
     0.00255102        5.21982
     0.00254453        5.21982
     0.00253807        5.21982
     0.00253165        5.21982
     0.00252525        5.21982
     0.00251889        5.21982
     0.00251256        5.21982
     0.00250627        5.21982
         0.0025        5.21982
     0.00249377        5.21982
     0.00248756        5.21982
     0.00248139        5.21982
     0.00247525        5.21982
     0.00246914        5.21982
     0.00246305        5.21982
       0.002457        5.21982
     0.00245098        5.21982
     0.00244499        5.21982
     0.00243902        5.21982
     0.00243309        5.21982
     0.00242718        5.21982
     0.00242131        5.21982
     0.00241546        5.21982
     0.00240964        5.21982
     0.00240385        5.21982
     0.00239808        5.21982
     0.00239234        5.21982
     0.00238663        5.21982
     0.00238095        5.21982
      0.0023753        5.21982
     0.00236967        5.21982
     0.00236407        5.21982
     0.00235849        5.21982
     0.00235294        5.21982
     0.00234742        5.21982
     0.00234192        5.21982
     0.00233645        5.21982
       0.002331        5.21982
     0.00232558        5.21982
     0.00232019        5.21982
     0.00231481        5.21982
     0.00230947        5.21982
     0.00230415        5.21982
     0.00229885        5.21982
     0.00229358        5.21982
     0.00228833        5.21982
     0.00228311        5.21982
      0.0022779        5.21982
     0.00227273        5.21982
     0.00226757        5.21982
     0.00226244        5.21982
     0.00225734        5.21982
     0.00225225        5.21982
     0.00224719        5.21982
     0.00224215        5.21982
     0.00223714        5.21982
     0.00223214        5.21982
     0.00222717        5.21982
     0.00222222        5.21982
     0.00221729        5.21982
     0.00221239        5.21982
     0.00220751        5.21982
     0.00220264        5.21982
      0.0021978        5.21982
     0.00219298        5.21982
     0.00218818        5.21982
     0.00218341        5.21982
     0.00217865        5.21982
     0.00217391        5.21982
      0.0021692        5.21982
      0.0021645        5.21982
     0.00215983        5.21982
     0.00215517        5.21982
     0.00215054        5.21982
     0.00214592        5.21982
     0.00214133        5.21982
     0.00213675        5.21982
      0.0021322        5.21982
     0.00212766        5.21982
     0.00212314        5.21982
     0.00211864        5.21982
     0.00211416        5.21982
      0.0021097        5.21982
     0.00210526        5.21982
     0.00210084        5.21982
     0.00209644        5.21982
     0.00209205        5.21982
     0.00208768        5.21982
     0.00208333        5.21982
       0.002079        5.21982
     0.00207469        5.21982
     0.00207039        5.21982
     0.00206612        5.21982
     0.00206186        5.21982
     0.00205761        5.21982
     0.00205339        5.21982
     0.00204918        5.21982
     0.00204499        5.21982
     0.00204082        5.21982
     0.00203666        5.21982
     0.00203252        5.21982
      0.0020284        5.21982
     0.00202429        5.21982
      0.0020202        5.21982
     0.00201613        5.21982
     0.00201207        5.21982
     0.00200803        5.21982
     0.00200401        5.21982
          0.002        5.21982
     0.00199601        5.21982
     0.00199203        5.21982
     0.00198807        5.21982
     0.00198413        5.21982
      0.0019802        5.21982
     0.00197628        5.21982
     0.00197239        5.21982
      0.0019685        5.21982
     0.00196464        5.21982
     0.00196078        5.21982
     0.00195695        5.21982
     0.00195312        5.21982
     0.00194932        5.21982
     0.00194553        5.21982
     0.00194175        5.21982
     0.00193798        5.21982
     0.00193424        5.21982
      0.0019305        5.21982
     0.00192678        5.21982
     0.00192308        5.21982
     0.00191939        5.21982
     0.00191571        5.21982
     0.00191205        5.21982
      0.0019084        5.21982
     0.00190476        5.21982
     0.00190114        5.21982
     0.00189753        5.21982
     0.00189394        5.21982
     0.00189036        5.21982
     0.00188679        5.21982
     0.00188324        5.21982
      0.0018797        5.21982
     0.00187617        5.21982
     0.00187266        5.21982
     0.00186916        5.21982
     0.00186567        5.21982
      0.0018622        5.21982
     0.00185874        5.21982
     0.00185529        5.21982
     0.00185185        5.21982
     0.00184843        5.21982
     0.00184502        5.21982
     0.00184162        5.21982
     0.00183824        5.21982
     0.00183486        5.21982
      0.0018315        5.21982
     0.00182815        5.21982
     0.00182482        5.21982
     0.00182149        5.21982
     0.00181818        5.21982
     0.00181488        5.21982
     0.00181159        5.21982
     0.00180832        5.21982
     0.00180505        5.21982
      0.0018018        5.21982
     0.00179856        5.21982
     0.00179533        5.21982
     0.00179211        5.21982
     0.00178891        5.21982
     0.00178571        5.21982
     0.00178253        5.21982
     0.00177936        5.21982
      0.0017762        5.21982
     0.00177305        5.21982
     0.00176991        5.21982
     0.00176678        5.21982
     0.00176367        5.21982
     0.00176056        5.21982
     0.00175747        5.21982
     0.00175439        5.21982
     0.00175131        5.21982
     0.00174825        5.21982
      0.0017452        5.21982
     0.00174216        5.21982
     0.00173913        5.21982
     0.00173611        5.21982
      0.0017331        5.21982
      0.0017301        5.21982
     0.00172712        5.21982
     0.00172414        5.21982
     0.00172117        5.21982
     0.00171821        5.21982
     0.00171527        5.21982
     0.00171233        5.21982
      0.0017094        5.21982
     0.00170648        5.21982
     0.00170358        5.21982
     0.00170068        5.21982
     0.00169779        5.21982
     0.00169492        5.21982
     0.00169205        5.21982
     0.00168919        5.21982
     0.00168634        5.21982
      0.0016835        5.21982
     0.00168067        5.21982
     0.00167785        5.21982
     0.00167504        5.21982
     0.00167224        5.21982
     0.00166945        5.21982
     0.00166667        5.21982
     0.00166389        5.21982
     0.00166113        5.21982
     0.00165837        5.21982
     0.00165563        5.21982
     0.00165289        5.21982
     0.00165017        5.21982
     0.00164745        5.21982
     0.00164474        5.21982
     0.00164204        5.21982
     0.00163934        5.21982
     0.00163666        5.21982
     0.00163399        5.21982
     0.00163132        5.21982
     0.00162866        5.21982
     0.00162602        5.21982
     0.00162338        5.21982
     0.00162075        5.21982
     0.00161812        5.21982
     0.00161551        5.21982
      0.0016129        5.21982
     0.00161031        5.21982
     0.00160772        5.21982
     0.00160514        5.21982
     0.00160256        5.21982
         0.0016        5.21982
     0.00159744        5.21982
      0.0015949        5.21982
     0.00159236        5.21982
     0.00158983        5.21982
      0.0015873        5.21982
     0.00158479        5.21982
     0.00158228        5.21982
     0.00157978        5.21982
     0.00157729        5.21982
      0.0015748        5.21982
     0.00157233        5.21982
     0.00156986        5.21982
      0.0015674        5.21982
     0.00156495        5.21982
      0.0015625        5.21982
     0.00156006        5.21982
     0.00155763        5.21982
     0.00155521        5.21982
      0.0015528        5.21982
     0.00155039        5.21982
