    Temperature          Paths
              1        15.0644
            0.5         12.341
       0.333333        11.7214
           0.25        11.9705
            0.2        8.57525
       0.166667        7.29703
       0.142857        7.33023
          0.125         7.2038
       0.111111        6.91508
            0.1        6.76558
      0.0909091        6.08606
      0.0833333        5.59115
      0.0769231        4.98327
      0.0714286         5.1616
      0.0666667        4.73623
         0.0625        4.84221
      0.0588235        4.66566
      0.0555556        4.70705
      0.0526316        4.67987
           0.05        5.05979
       0.047619        5.00627
      0.0454545        4.96295
      0.0434783        5.05706
      0.0416667        5.18725
           0.04        4.98764
      0.0384615        4.96559
       0.037037        5.02427
      0.0357143        5.06519
      0.0344828        5.01494
      0.0333333        5.02309
      0.0322581        5.07178
        0.03125         5.1489
       0.030303        5.15176
      0.0294118        5.23468
      0.0285714        5.06982
      0.0277778        5.13101
       0.027027        5.07542
      0.0263158        5.20219
       0.025641        5.06168
          0.025        4.99544
      0.0243902        4.98985
      0.0238095        5.03061
      0.0232558        4.98729
      0.0227273        4.99808
      0.0222222        4.98729
      0.0217391        4.99544
      0.0212766        4.99553
      0.0208333        4.98985
      0.0204082        5.06559
           0.02        4.98729
      0.0196078        5.04699
      0.0192308        4.98985
      0.0188679        4.98985
      0.0185185        5.05141
      0.0181818        4.98985
      0.0178571        4.98993
      0.0175439        4.98985
      0.0172414        4.98729
      0.0169492        5.05171
      0.0166667        5.03884
      0.0163934        4.98729
       0.016129        4.99808
       0.015873         4.9817
       0.015625        4.98993
      0.0153846        4.98985
      0.0151515        4.98985
      0.0149254        4.99544
      0.0147059        4.98729
      0.0144928         4.9817
      0.0142857        5.04348
      0.0140845         4.9817
      0.0138889         4.9817
      0.0136986        4.99544
      0.0135135         4.9817
      0.0133333        4.98729
      0.0131579        4.99553
       0.012987        4.98729
      0.0128205        4.98729
      0.0126582        4.98985
         0.0125         4.9817
      0.0123457        4.98729
      0.0121951        4.98985
      0.0120482         4.9817
      0.0119048         4.9817
      0.0117647        4.98985
      0.0116279         4.9817
      0.0114943        4.99553
      0.0113636        5.00367
       0.011236        4.98985
      0.0111111        4.98985
       0.010989         4.9817
      0.0108696         4.9817
      0.0107527        4.99808
      0.0106383         4.9817
      0.0105263        4.99544
      0.0104167        4.99553
      0.0103093        4.98729
      0.0102041         4.9817
       0.010101        4.98729
           0.01        4.98985
     0.00990099        4.98729
     0.00980392        5.00367
     0.00970874         4.9817
     0.00961538         4.9817
     0.00952381        4.98985
     0.00943396        4.99544
     0.00934579        4.99544
     0.00925926         4.9817
     0.00917431        4.98729
     0.00909091         4.9817
     0.00900901        5.03061
     0.00892857        4.98993
     0.00884956        4.99808
     0.00877193        4.99553
     0.00869565        4.98729
     0.00862069        4.98993
     0.00854701        4.98729
     0.00847458         4.9817
     0.00840336         4.9817
     0.00833333        4.99544
     0.00826446        4.98729
     0.00819672        4.98729
     0.00813008        4.99544
     0.00806452        4.99553
          0.008        4.98985
     0.00793651        4.98985
     0.00787402        5.01581
      0.0078125        5.02309
     0.00775194        5.02404
     0.00769231        5.01494
     0.00763359        5.01581
     0.00757576        5.01494
      0.0075188        5.01494
     0.00746269        4.99553
     0.00740741        4.98985
     0.00735294        4.98993
     0.00729927         4.9817
     0.00724638        5.03884
     0.00719424        4.98985
     0.00714286         4.9817
      0.0070922         4.9817
     0.00704225         4.9817
     0.00699301        4.98993
     0.00694444        4.98985
     0.00689655        4.98993
     0.00684932         4.9817
     0.00680272        4.98985
     0.00675676        4.98985
     0.00671141        4.98729
     0.00666667         4.9817
     0.00662252        4.98993
     0.00657895         4.9817
     0.00653595        4.98993
     0.00649351         4.9817
     0.00645161        4.98729
     0.00641026        4.98993
     0.00636943         4.9817
     0.00632911         4.9817
     0.00628931         4.9817
        0.00625        4.98985
     0.00621118        4.98729
     0.00617284         4.9817
     0.00613497        4.98985
     0.00609756         4.9817
     0.00606061         4.9817
      0.0060241         4.9817
     0.00598802        4.98993
     0.00595238         4.9817
     0.00591716        4.98729
     0.00588235         4.9817
     0.00584795        4.99808
     0.00581395         4.9817
     0.00578035         4.9817
     0.00574713         4.9817
     0.00571429         4.9817
     0.00568182         4.9817
     0.00564972         4.9817
     0.00561798        4.99544
     0.00558659         4.9817
     0.00555556        4.98993
     0.00552486         4.9817
     0.00549451         4.9817
     0.00546448         4.9817
     0.00543478         4.9817
     0.00540541         4.9817
     0.00537634         4.9817
     0.00534759        4.98729
     0.00531915         4.9817
     0.00529101         4.9817
     0.00526316         4.9817
      0.0052356        4.98985
     0.00520833        4.99553
     0.00518135         4.9817
     0.00515464        4.98993
     0.00512821        4.98985
     0.00510204        4.99553
     0.00507614         4.9817
     0.00505051        4.98985
     0.00502513        4.98729
          0.005         4.9817
     0.00497512         4.9817
      0.0049505         4.9817
     0.00492611         4.9817
     0.00490196        4.99808
     0.00487805         4.9817
     0.00485437        4.98729
     0.00483092        4.99553
     0.00480769        4.98993
     0.00478469        4.98729
      0.0047619         4.9817
     0.00473934        4.98729
     0.00471698        4.99808
     0.00469484        4.98729
      0.0046729        4.98729
     0.00465116         4.9817
     0.00462963        4.98729
     0.00460829        4.99544
     0.00458716         4.9817
     0.00456621         4.9817
     0.00454545        4.98729
     0.00452489         4.9817
      0.0045045         4.9817
      0.0044843        4.99553
     0.00446429         4.9817
     0.00444444         4.9817
     0.00442478        4.98729
     0.00440529        4.98729
     0.00438596        4.98985
     0.00436681        4.98985
     0.00434783         4.9817
       0.004329         4.9817
     0.00431034         4.9817
     0.00429185         4.9817
      0.0042735        4.98729
     0.00425532         4.9817
     0.00423729         4.9817
     0.00421941         4.9817
     0.00420168         4.9817
      0.0041841         4.9817
     0.00416667         4.9817
     0.00414938         4.9817
     0.00413223         4.9817
     0.00411523         4.9817
     0.00409836         4.9817
     0.00408163         4.9817
     0.00406504         4.9817
     0.00404858         4.9817
     0.00403226         4.9817
     0.00401606        4.98729
          0.004         4.9817
     0.00398406        4.98729
     0.00396825         4.9817
     0.00395257        4.98985
     0.00393701         4.9817
     0.00392157         4.9817
     0.00390625         4.9817
     0.00389105         4.9817
     0.00387597        4.98993
       0.003861         4.9817
     0.00384615        4.98985
     0.00383142         4.9817
     0.00381679         4.9817
     0.00380228         4.9817
     0.00378788         4.9817
     0.00377358         4.9817
      0.0037594         4.9817
     0.00374532        4.98985
     0.00373134         4.9817
     0.00371747        4.98993
      0.0037037        4.98985
     0.00369004         4.9817
     0.00367647         4.9817
       0.003663         4.9817
     0.00364964         4.9817
     0.00363636         4.9817
     0.00362319         4.9817
     0.00361011        4.98729
     0.00359712         4.9817
     0.00358423         4.9817
     0.00357143        4.98993
     0.00355872         4.9817
      0.0035461        4.98729
     0.00353357         4.9817
     0.00352113         4.9817
     0.00350877         4.9817
      0.0034965        4.98729
     0.00348432        4.98985
     0.00347222        4.98985
     0.00346021         4.9817
     0.00344828        4.98729
     0.00343643         4.9817
     0.00342466         4.9817
     0.00341297        4.98985
     0.00340136         4.9817
     0.00338983         4.9817
     0.00337838         4.9817
       0.003367         4.9817
      0.0033557         4.9817
     0.00334448         4.9817
     0.00333333         4.9817
     0.00332226         4.9817
     0.00331126         4.9817
     0.00330033         4.9817
     0.00328947         4.9817
     0.00327869         4.9817
     0.00326797         4.9817
     0.00325733         4.9817
     0.00324675         4.9817
     0.00323625        4.98985
     0.00322581        4.98729
     0.00321543        4.98729
     0.00320513        4.98993
     0.00319489         4.9817
     0.00318471         4.9817
      0.0031746         4.9817
     0.00316456         4.9817
     0.00315457         4.9817
     0.00314465         4.9817
      0.0031348        4.98729
       0.003125        4.98729
     0.00311526         4.9817
     0.00310559         4.9817
     0.00309598         4.9817
     0.00308642        4.98985
     0.00307692        4.98993
     0.00306748         4.9817
      0.0030581         4.9817
     0.00304878         4.9817
     0.00303951        4.98993
      0.0030303         4.9817
     0.00302115         4.9817
     0.00301205         4.9817
       0.003003         4.9817
     0.00299401         4.9817
     0.00298507         4.9817
     0.00297619         4.9817
     0.00296736        4.98993
     0.00295858         4.9817
     0.00294985        4.98729
     0.00294118         4.9817
     0.00293255         4.9817
     0.00292398         4.9817
     0.00291545         4.9817
     0.00290698         4.9817
