Averages Errors
0.998981 0
0.99913 0.000149415
0.999574 0.000451876
0.999687 0.000339018
0.999814 0.000291855
0.999401 0.000477363
0.999872 0.000620306
0.999624 0.000591663
0.999454 0.000548674
0.999443 0.000490887
0.999414 0.000444928
0.999464 0.000409245
0.999559 0.000388114
0.999543 0.000359683
0.999529 0.00033515
0.999457 0.000321619
0.999505 0.000305907
0.999619 0.000310373
0.999704 0.000305427
0.9997 0.000289776
0.999725 0.00027677
0.999698 0.00026526
0.999666 0.000255512
0.999642 0.000245753
0.999652 0.000235921
0.999597 0.000233265
0.999512 0.000239971
0.999486 0.000232721
0.999515 0.000226367
0.999542 0.000220397
0.999619 0.000226735
0.999657 0.000222827
0.999666 0.000216142
0.999693 0.000211344
0.999709 0.000205882
0.999726 0.000200822
0.999743 0.000196004
0.999802 0.000199665
0.999794 0.000194636
0.999801 0.000189853
0.999815 0.000185683
0.99981 0.000181288
0.999742 0.000189559
0.999766 0.000186811
0.999737 0.000184974
0.999743 0.000181009
0.999771 0.000179371
0.999817 0.000181417
0.999824 0.000177816
0.999792 0.000177114
0.999778 0.00017417
0.999776 0.000170799
0.99975 0.000169533
0.999778 0.000168742
0.999727 0.000173444
0.999753 0.000172272
0.999751 0.000169229
0.999764 0.000166735
0.999777 0.000164462
0.99978 0.000161714
0.99978 0.000159042
0.999811 0.000159482
0.999792 0.000158125
0.999761 0.000158708
0.99975 0.000156592
0.999734 0.000155048
0.999734 0.000152716
0.999727 0.000150624
0.999726 0.000148428
0.999735 0.000146602
0.999737 0.000144537
0.999754 0.00014347
0.999738 0.000142341
0.999732 0.000140541
0.999748 0.000139525
0.999772 0.0001397
0.999808 0.000142498
0.999801 0.000140796
0.999787 0.000139785
0.999782 0.000138108
0.999808 0.000138831
0.999794 0.000137787
0.999807 0.000136674
0.99979 0.000136098
0.999796 0.000134628
0.999784 0.000133534
0.999776 0.000132272
0.9998 0.00013291
0.999836 0.00013642
0.99986 0.000136933
0.999841 0.000136732
0.999842 0.000135243
0.999843 0.000133784
0.999852 0.000132635
0.99984 0.000131705
0.999828 0.000130895
0.999831 0.000129567
0.999849 0.000129494
0.999864 0.00012911
0.999857 0.000128057
